artist,title,genre,cluster,track_index,nn_distance
kolombo,i_represent_banana,tech_house_tribal,21,123,8.902396062854983
little_by_little,bang_the_box,deep_house_banger,21,124,9.774165253879156
darius_syrossian,moxy,techno_bouncy,21,125,10.913597889388436
tom_flynn,hoochie,vibe_th_amine,21,126,10.203663142322155
sebastian_phillip,people_in_the_club_ben_anders_addvox_remix,vibe_g_swindle,21,127,9.24281420493721
pax,latch_on,tech_house_rolling,21,128,10.729902040644118
deetron,come_on_back,groovy_house,21,129,8.98795218722325
pawsa,party_extended_mix,tech_house_bouncy,21,130,8.374026077732205
lsdxoxo,mutant_exotic_badsista_remix,tech_house_new,21,131,8.267987090940483
nicky_night_time_dangerous_dan_rhonda_intl_julian_mitchell,a_history_feat_julian_mitchell,house_groovy,21,132,9.076931950232257
chris_lorenzo_sosa_uk_cobrah,mami_feat_cobrah_sosa_remix,tech_house_new,21,133,8.06356416367852
kink,valentine_s_groove_original_mix,vibe_h_kinky,21,134,9.698526190110496
matty_menck_mattini,get_hi_code3000_remix,deep_house_dirty,21,135,10.190481267486135
bodhi,nine_dub,tech_house_wobble,21,136,8.929588687950693
paige,get_down_robbie_rivera_extended_remix,house_tribal,21,137,9.500339692680447
nic_peter,love_sensation,tech_house_classic,21,138,9.259194088199058
renaud_genton,momentum,house_rave,21,139,8.83005152389643
tronco_traxx_robbie_tronco,walk_4_me_walk_a_pella,techno_banger,21,140,9.727266512780645
outlander,the_vamp,tech_house_euphoric,21,141,8.032876237406802
krystal_klear,euphoric_dreams_kink_remix,vibe_h_kinky,21,142,10.497586193202073
green_velvet,bigger_than_prince_orignal_mix,vibe_th_velvet,21,143,9.428667212289795
jules_jim,listen_to_the_silence_mark_lower_remix,deep_house_funky,21,144,9.758548968873983
sonny_banks,spice,tech_house_euphoric,21,145,9.223003315217486
jamie_jones,kooky_chords_original_mix,house_euphoric,21,146,10.652723714243157
freedomb_bar_f6,why_pezzner_s_hydrochloric_rinse,tech_house_banger,21,147,10.212592361158434
houzmon_paul_anthony,houz_mon_fear_tha_world_paul_anthony_remix,house_trippy,21,148,11.633126244954456
martin_eyerer,hey_hey_feat_ruede_hagelstein_affkt_remix,house_wobble,21,149,9.17790277118137
enzo_siffredi,sometimes,groovy_deep,21,150,3.185302701486294
enzo_siffredi,sometimes_edit,groovy_banger,21,151,9.210871654708999
